###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	0.0001 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
0.000000, 1.000000, 0.500000, 0.000000
0.298726, 1.075057, 0.298726, 0.000100
0.448667, 1.146369, 0.149941, 0.000107
0.572160, 1.221267, 0.123493, 0.000114
0.683322, 1.300527, 0.111162, 0.000122
0.787783, 1.384605, 0.104462, 0.000129
0.888558, 1.473888, 0.100775, 0.000138
0.987560, 1.568747, 0.099001, 0.000147
1.086168, 1.669558, 0.098609, 0.000156
1.184923, 1.775917, 0.098754, 0.000165
1.284130, 1.887179, 0.099207, 0.000173
1.384204, 2.002865, 0.100074, 0.000180
1.485638, 2.122607, 0.101434, 0.000186
1.588990, 2.246092, 0.103353, 0.000192
1.694889, 2.373016, 0.105899, 0.000198
1.804045, 2.503030, 0.109156, 0.000203
1.917279, 2.635692, 0.113234, 0.000207
2.035565, 2.770405, 0.118286, 0.000211
2.160097, 2.906345, 0.124532, 0.000213
2.292398, 3.042349, 0.132301, 0.000214
2.434498, 3.176763, 0.142100, 0.000212
2.589258, 3.307187, 0.154760, 0.000206
2.761008, 3.430046, 0.171750, 0.000195
2.957007, 3.539762, 0.195999, 0.000176
3.191658, 3.626978, 0.234651, 0.000143
3.506321, 3.673732, 0.314663, 0.000083
3.978955, 3.632647, 0.472634, -0.000048
4.448402, 3.389433, 0.469448, -0.000361
4.776464, 3.172150, 0.328062, -0.000337
5.076326, 2.972317, 0.299862, -0.000316
5.379519, 2.798586, 0.303193, -0.000280
5.701522, 2.675071, 0.322003, -0.000206
6.101132, 2.629295, 0.399610, -0.000090
6.550604, 2.743141, 0.449472, 0.000145
6.823344, 2.927129, 0.272740, 0.000273
7.035515, 3.118724, 0.212171, 0.000291
7.224581, 3.320995, 0.189065, 0.000310
7.403262, 3.535267, 0.178681, 0.000330
7.578303, 3.762530, 0.175041, 0.000352
7.753558, 4.002205, 0.175255, 0.000372
7.929997, 4.249523, 0.176439, 0.000385
8.109138, 4.500555, 0.179141, 0.000392
8.292985, 4.751815, 0.183847, 0.000393
8.484103, 4.999789, 0.191119, 0.000389
8.685867, 5.240423, 0.201764, 0.000379
8.902979, 5.468473, 0.217112, 0.000361
9.142600, 5.676546, 0.239620, 0.000332
9.417109, 5.853435, 0.274509, 0.000286
9.753032, 5.980664, 0.335923, 0.000212
10.248994, 6.023376, 0.495962, 0.000085
10.871390, 5.888141, 0.622396, -0.000193
11.541687, 5.645040, 0.670298, -0.000404
12.418247, 5.601580, 0.876560, -0.000147
12.981310, 6.000557, 0.563064, 0.000557
13.320239, 6.396428, 0.338928, 0.000597
13.608915, 6.811943, 0.288676, 0.000636
13.879291, 7.250964, 0.270376, 0.000678
14.146727, 7.715634, 0.267436, 0.000721
14.415861, 8.192253, 0.269135, 0.000744
14.690164, 8.664865, 0.274302, 0.000741
14.974758, 9.119730, 0.284594, 0.000717
15.276944, 9.543450, 0.302187, 0.000672
15.607748, 9.920907, 0.330804, 0.000604
15.985841, 10.233079, 0.378093, 0.000506
16.449096, 10.455378, 0.463255, 0.000369
17.102534, 10.563232, 0.653438, 0.000186
18.264509, 10.620356, 1.161975, 0.000059
19.096992, 11.395791, 0.832483, 0.001057
19.558939, 12.149546, 0.461947, 0.001134
19.946954, 12.938730, 0.388016, 0.001209
20.310910, 13.771275, 0.363956, 0.001287
