###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-05 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
0.000000, 1.000000, 0.500000, 0.000000
0.053111, 1.006738, 0.053111, 0.000010
0.091283, 1.013346, 0.038172, 0.000010
0.122896, 1.019939, 0.031613, 0.000010
0.150575, 1.026544, 0.027679, 0.000010
0.175559, 1.033172, 0.024984, 0.000010
0.198552, 1.039831, 0.022993, 0.000010
0.219999, 1.046524, 0.021447, 0.000010
0.240202, 1.053253, 0.020203, 0.000010
0.259378, 1.060019, 0.019176, 0.000010
0.277689, 1.066824, 0.018311, 0.000011
0.295260, 1.073670, 0.017571, 0.000011
0.312188, 1.080556, 0.016928, 0.000011
0.328553, 1.087484, 0.016365, 0.000011
0.344420, 1.094453, 0.015867, 0.000011
0.359842, 1.101466, 0.015422, 0.000011
0.374866, 1.108521, 0.015023, 0.000011
0.389528, 1.115620, 0.014663, 0.000011
0.403864, 1.122764, 0.014335, 0.000011
0.417901, 1.129951, 0.014037, 0.000011
0.431664, 1.137184, 0.013764, 0.000011
0.445177, 1.144461, 0.013513, 0.000011
0.458458, 1.151785, 0.013281, 0.000011
0.471525, 1.159154, 0.013067, 0.000011
0.484394, 1.166569, 0.012869, 0.000012
0.497078, 1.174032, 0.012684, 0.000012
0.509591, 1.181541, 0.012513, 0.000012
0.521943, 1.189097, 0.012353, 0.000012
0.534147, 1.196702, 0.012203, 0.000012
0.546210, 1.204354, 0.012063, 0.000012
0.558142, 1.212054, 0.011932, 0.000012
0.569952, 1.219804, 0.011809, 0.000012
0.581646, 1.227602, 0.011694, 0.000012
0.593232, 1.235450, 0.011586, 0.000012
0.604715, 1.243348, 0.011483, 0.000012
0.616102, 1.251295, 0.011387, 0.000012
0.627399, 1.259293, 0.011297, 0.000012
0.638611, 1.267342, 0.011211, 0.000013
0.649742, 1.275442, 0.011131, 0.000013
0.660797, 1.283593, 0.011055, 0.000013
0.671780, 1.291796, 0.010984, 0.000013
0.682696, 1.300051, 0.010916, 0.000013
0.693549, 1.308358, 0.010852, 0.000013
0.704341, 1.316718, 0.010792, 0.000013
0.715076, 1.325132, 0.010735, 0.000013
0.725758, 1.333599, 0.010682, 0.000013
0.736390, 1.342119, 0.010632, 0.000013
0.746974, 1.350694, 0.010584, 0.000013
0.757513, 1.359323, 0.010539, 0.000013
0.768010, 1.368008, 0.010497, 0.000014
0.778468, 1.376747, 0.010458, 0.000014
0.788889, 1.385542, 0.010421, 0.000014
0.799275, 1.394393, 0.010386, 0.000014
0.809628, 1.403301, 0.010353, 0.000014
0.819951, 1.412265, 0.010323, 0.000014
0.830246, 1.421286, 0.010295, 0.000014
0.840514, 1.430364, 0.010268, 0.000014
0.850758, 1.439500, 0.010244, 0.000014
0.860979, 1.448695, 0.010221, 0.000014
0.871179, 1.457948, 0.010200, 0.000014
0.881361, 1.467260, 0.010181, 0.000015
0.891524, 1.476631, 0.010164, 0.000015
0.901672, 1.486062, 0.010148, 0.000015
0.911806, 1.495553, 0.010134, 0.000015
0.921927, 1.505104, 0.010121, 0.000015
0.932036, 1.514716, 0.010110, 0.000015
0.942136, 1.524390, 0.010100, 0.000015
0.952227, 1.534125, 0.010091, 0.000015
0.962312, 1.543922, 0.010084, 0.000015
0.972390, 1.553781, 0.010078, 0.000015
